SR Number,Date/Time Opened,Service Request Address,Service Request Status,Answer
SR23-01730228,10/07/23 11:29 AM,6166 N SHERIDAN RD<br>18a<br>Chicago Illinois 60660,Completed,Adequate Temperature
SR23-01730292,10/07/23 11:43 AM,8713 S COTTAGE GROVE AVE<br>Chicago Illinois 60619,Completed,No Entry
SR23-01730459,10/07/23 12:23 PM,4328 W CORTEZ ST<br>Chicago Illinois 60651,Completed,No Cause - Phone Call
SR23-01730710,10/07/23 12:57 PM,1664 W FARWELL AVE<br>1W<br>Chicago Illinois 60626,Completed,No Entry
SR23-01730732,10/07/23 01:00 PM,6040 S HARPER AVE<br>Chicago Illinois 60637,Completed,No Entry
SR23-01730739,10/07/23 01:02 PM,5334 W HARRISON ST<br>2n<br>Chicago Illinois 60644,Completed,No Cause - Phone Call
SR23-01731050,10/07/23 01:55 PM,10500 S INDIANA AVE<br>Chicago Illinois 60628,Completed,No Entry
SR23-01731166,10/07/23 02:21 PM,7251 S SOUTH SHORE DR<br>Chicago Illinois 60649,Completed,Adequate Temperature
SR23-01731510,10/07/23 03:48 PM,1248 E 79TH ST<br>Chicago Illinois 60619,Completed,No Entry
SR23-01731706,10/07/23 04:48 PM,5461 N EAST  RIVER RD<br>Chicago Illinois 60656,Completed,No Cause - Phone Call
SR23-01731954,10/07/23 06:13 PM,6637 N NEWGARD AVE<br>2W<br>Chicago Illinois 60626,Completed,Adequate Temperature
SR23-01732096,10/07/23 07:22 PM,1070 W GRANVILLE AVE<br>  ,Completed,No Entry
SR23-01732135,10/07/23 07:32 PM,6970 N GREENVIEW AVE<br>  ,Completed,No Entry
SR23-01732214,10/07/23 07:57 PM,900 N LAKE SHORE DR<br>Chicago Illinois 60611,Completed,Adequate Temperature
SR23-01732264,10/07/23 08:18 PM,1664 W FARWELL AVE<br>3e<br>Chicago Illinois 60626,Completed,
SR23-01732277,10/07/23 08:24 PM,7811 S EUCLID AVE<br>1<br>Chicago Illinois 60649,Completed,Processed for Court
SR23-01732504,10/07/23 10:20 PM,6166 N SHERIDAN RD<br>Chicago Illinois 60660,Completed,Adequate Temperature
SR23-01732634,10/07/23 11:29 PM,850 W EASTWOOD AVE<br>Chicago Illinois 60640,Completed,No Entry
SR23-01732659,10/07/23 11:54 PM,2501 W MARQUETTE RD<br>Chicago Illinois 60629,Completed,Processed for Court
SR23-01732929,10/08/23 04:10 AM,7644 N EASTLAKE TER<br>2<br>Chicago Illinois 60626,Completed,No Entry
SR23-01732949,10/08/23 04:32 AM,1756 W 19TH ST<br>  ,Completed,No Entry
SR23-01733125,10/08/23 07:02 AM,1749 N WELLS ST<br>1411<br>Chicago Illinois 60614,Completed,Adequate Temperature
SR23-01733202,10/08/23 07:19 AM,2061W W BIRCHWOOD AVE<br>  ,Completed,No Entry
SR23-01733332,10/08/23 08:02 AM,170 W OAK ST<br>Chicago Illinois 60610,Completed,Adequate Temperature
SR23-01733342,10/08/23 08:09 AM,2953 W FULTON ST<br>Chicago Illinois 60612,Completed,No Cause - Phone Call
SR23-01733358,10/08/23 08:13 AM,180 W ADAMS ST<br>Chicago Illinois 60603,Completed,No Entry
SR23-01733413,10/08/23 08:26 AM,1130 N DEARBORN ST<br>Chicago Illinois 60610,Completed,Adequate Temperature
SR23-01733494,10/08/23 08:48 AM,6257 N LAKEWOOD AVE<br>Chicago Illinois 60660,Completed,No Entry
SR23-01733507,10/08/23 08:51 AM,6166 N SHERIDAN RD<br>18A<br>Chicago Illinois 60660,Completed,
SR23-01733548,10/08/23 08:59 AM,7929 S STATE ST<br>Chicago Illinois 60619,Completed,No Cause - Phone Call
SR23-01733584,10/08/23 09:06 AM,3750 S COTTAGE GROVE AVE<br>Chicago Illinois 60653,Completed,No Cause
SR23-01733656,10/08/23 09:22 AM,2921 S MICHIGAN AVE<br>Chicago Illinois 60616,Completed,No Cause - Phone Call
SR23-01733708,10/08/23 09:32 AM,3004 S ARCHER AVE<br>Chicago Illinois 60608,Completed,No Cause - Phone Call
SR23-01733753,10/08/23 09:41 AM,400 E 41ST ST<br>Chicago Illinois 60653,Completed,Adequate Temperature
SR23-01733907,10/08/23 10:13 AM,2101 S MICHIGAN AVE<br>Chicago Illinois 60616,Completed,No Cause - Phone Call
SR23-01733943,10/08/23 10:21 AM,3720 W BELLE PLAINE AVE<br>Chicago Illinois 60618,Completed,No Entry
SR23-01734037,10/08/23 10:37 AM,3555 S RHODES AVE<br>Chicago Illinois 60653,Completed,NO SUCH ADDRESS
SR23-01734132,10/08/23 10:59 AM,150 W MAPLE ST<br>Chicago Illinois 60610,Completed,No Cause
SR23-01734142,10/08/23 11:03 AM,7925 S ST LAWRENCE AVE<br>Chicago Illinois 60619,Completed,No Entry
SR23-01734157,10/08/23 11:06 AM,7159 S YALE AVE<br>Chicago Illinois 60621,Completed,No Entry
SR23-01734342,10/08/23 11:49 AM,2205 W RICE ST<br>2W<br>Chicago Illinois 60622,Completed,No Cause - Phone Call
SR23-01734350,10/08/23 11:51 AM,5439 S WOODLAWN AVE<br>3E<br>Chicago Illinois 60615,Completed,No Entry
SR23-01734581,10/08/23 12:48 PM,11 S PARKSIDE AVE<br>Chicago Illinois 60644,Completed,No Cause - Phone Call
SR23-01734621,10/08/23 12:58 PM,5254 S DORCHESTER AVE<br>100<br>Chicago Illinois 60615,Completed,PROCESSED VIOLATION NOTICE
SR23-01734681,10/08/23 01:13 PM,6166 N SHERIDAN RD<br>Chicago Illinois 60660,Completed,
SR23-01734864,10/08/23 01:56 PM,520 W DIVERSEY PKWY<br>Chicago Illinois 60614,Completed,No Entry
SR23-01734865,10/08/23 01:56 PM,1513 W WINNEMAC AVE<br>2E<br>Chicago Illinois 60640,Completed,No Cause - Phone Call
SR23-01734995,10/08/23 02:28 PM,5117 W WASHINGTON BLVD<br>Chicago Illinois 60644,Completed,No Cause - Phone Call
SR23-01734999,10/08/23 02:29 PM,520 W DIVERSEY PKWY<br>3W<br>Chicago Illinois 60614,Completed,
SR23-01735350,10/08/23 04:10 PM,4033 W MELROSE ST<br>1E<br>Chicago Illinois 60641,Completed,No Cause - Phone Call
SR23-01735479,10/08/23 04:54 PM,5120 S HARPER AVE<br>Chicago Illinois 60615,Completed,No Entry
SR23-01735602,10/08/23 05:36 PM,1513 W WINNEMAC AVE<br>3W<br>Chicago Illinois 60640,Completed,
SR23-01735610,10/08/23 05:38 PM,6121 N NORTHWEST HWY<br>Chicago Illinois 60631,Completed,No Cause - Phone Call
SR23-01735611,10/08/23 05:38 PM,4424 S DREXEL AVE<br>Chicago Illinois 60653,Completed,No Cause - Phone Call
SR23-01735829,10/08/23 06:41 PM,5461 N EAST  RIVER RD<br>Chicago Illinois 60656,Completed,No Cause - Phone Call
SR23-01735844,10/08/23 06:47 PM,2426 N KILPATRICK AVE<br>1<br>Chicago Illinois 60639,Completed,No Cause - Phone Call
SR23-01735885,10/08/23 06:54 PM,5304 W DIVISION ST<br>Chicago Illinois 60651,Completed,No Entry
SR23-01735897,10/08/23 06:55 PM,2424 N KILPATRICK AVE<br>2<br>Chicago Illinois 60639,Completed,No Entry
SR23-01735938,10/08/23 07:05 PM,7920 S WABASH AVE<br>Chicago Illinois 60619,Completed,No Cause - Phone Call
SR23-01736174,10/08/23 08:07 PM,5903 W FILLMORE ST<br>Apt 1W<br>Chicago Illinois 60644,Completed,No Entry
SR23-01736212,10/08/23 08:23 PM,946 W CUYLER AVE<br>Apt 2<br>Chicago Illinois 60613,Completed,No Cause - Phone Call
SR23-01736487,10/08/23 09:52 PM,3350 W VAN BUREN ST<br>Chicago Illinois 60624,Completed,No Cause - Phone Call
SR23-01736983,10/09/23 05:50 AM,2140 N CLARK ST<br>Chicago Illinois 60614,Completed,Adequate Temperature
SR23-01737143,10/09/23 07:15 AM,5808 W FULTON ST<br>Chicago Illinois 60644,Completed,No Cause - Phone Call
SR23-01737219,10/09/23 07:27 AM,3755 S COTTAGE GROVE AVE<br>Chicago Illinois 60653,Completed,No Cause
SR23-01737394,10/09/23 08:05 AM,727 E 60TH ST<br>Chicago Illinois 60637,Completed,PROCESSED VIOLATION NOTICE
SR23-01737492,10/09/23 08:20 AM,3600 N LAKE SHORE DR<br>2508<br>Chicago Illinois 60613,Completed,No Cause - Phone Call
SR23-01737504,10/09/23 08:22 AM,1210 E 78TH ST<br>Chicago Illinois 60619,Completed,No Entry
SR23-01737562,10/09/23 08:30 AM,4800 S LAKE PARK AVE<br>Chicago Illinois 60615,Completed,Adequate Temperature
SR23-01737619,10/09/23 08:35 AM,150 W MAPLE ST<br>Chicago Illinois 60610,Completed,No Cause
SR23-01737699,10/09/23 08:45 AM,2002 W FOSTER AVE<br>2<br>Chicago Illinois 60625,Completed,No Cause - Phone Call
SR23-01737852,10/09/23 09:03 AM,2050 W ARTHUR AVE<br>Chicago Illinois 60645,Completed,No Entry
SR23-01737904,10/09/23 09:11 AM,1649 W JONQUIL TER<br>  ,Completed,No Cause - Phone Call
SR23-01737956,10/09/23 09:18 AM,1343 N CLEVELAND AVE<br>Chicago Illinois 60610,Completed,No Entry
SR23-01737955,10/09/23 09:18 AM,6907 S MERRILL AVE<br>Chicago Illinois 60649,Completed,No Entry
SR23-01738059,10/09/23 09:32 AM,4940 N WINTHROP AVE<br>Chicago Illinois 60640,Completed,No Entry
SR23-01738066,10/09/23 09:33 AM,4744 S DREXEL AVE<br>Chicago Illinois 60615,Completed,No Cause - Phone Call
SR23-01738076,10/09/23 09:35 AM,2647 W DIVISION ST<br>Chicago Illinois 60622,Completed,No Cause - Phone Call
SR23-01738267,10/09/23 09:56 AM,869 W BUENA AVE<br>Chicago Illinois 60613,Completed,Adequate Temperature
SR23-01738326,10/09/23 10:03 AM,7019 N RIDGE BLVD<br>  ,Completed,Adequate Temperature
SR23-01738490,10/09/23 10:23 AM,7933 S ESCANABA AVE<br>Chicago Illinois 60617,Completed,No Entry
SR23-01738577,10/09/23 10:34 AM,251 E 121ST PL<br>Chicago Illinois 60628,Completed,No Entry
SR23-01738601,10/09/23 10:37 AM,150 W MAPLE ST<br>Chicago Illinois 60610,Completed,No Cause
SR23-01738665,10/09/23 10:45 AM,150 W MAPLE ST<br>Chicago Illinois 60610,Completed,No Cause
SR23-01738745,10/09/23 10:52 AM,200 E CHESTNUT ST<br>1521<br>Chicago Illinois 60611,Completed,Adequate Temperature
SR23-01738746,10/09/23 10:52 AM,800 S WELLS ST<br>Chicago Illinois 60607,Completed,Adequate Temperature
SR23-01738844,10/09/23 11:04 AM,5154 S INDIANA AVE<br>Chicago Illinois 60615,Completed,No Entry
SR23-01738847,10/09/23 11:04 AM,1528 W MORSE AVE<br>Chicago Illinois 60626,Completed,No Cause - Phone Call
SR23-01738901,10/09/23 11:10 AM,6504 S DR MARTIN LUTHER KING JR DR<br>Chicago Illinois 60637,Completed,Adequate Temperature
SR23-01738915,10/09/23 11:12 AM,845 W HARRISON ST<br>Chicago Illinois 60607,Completed,No Entry
SR23-01739019,10/09/23 11:25 AM,5451 N EAST  RIVER RD<br>Chicago Illinois 60656,Completed,No Cause - Phone Call
SR23-01739098,10/09/23 11:36 AM,8526 W CATALPA AVE<br>Apt. 1ST<br>Chicago Illinois 60656,Completed,Adequate Temperature
SR23-01739107,10/09/23 11:37 AM,150 W MAPLE ST<br>Chicago Illinois 60610,Completed,No Cause
SR23-01740167,10/09/23 01:51 PM,3600 N LAKE SHORE DR<br>Chicago Illinois 60613,Completed,
SR23-01740812,10/09/23 03:24 PM,4607 N SHERIDAN RD<br>  ,Completed,No Cause - Phone Call
SR23-01740960,10/09/23 03:47 PM,2940 W 87TH ST<br>Chicago Illinois 60652,Completed,Adequate Temperature
SR23-01740977,10/09/23 03:49 PM,1143 N LAVERGNE AVE<br>Chicago Illinois 60651,Completed,No Cause - Phone Call
SR23-01741059,10/09/23 04:01 PM,4305 N DAMEN AVE<br>1w<br>Chicago Illinois 60618,Completed,No Cause - Phone Call
SR23-01741139,10/09/23 04:20 PM,1940 W HOOD AVE<br>Chicago Illinois 60660,Completed,No Cause - Phone Call
SR23-01741290,10/09/23 04:48 PM,555 W KINZIE ST<br>1501<br>Chicago Illinois 60654,Completed,Adequate Temperature
SR23-01741384,10/09/23 05:03 PM,4448 W FULTON ST<br>Chicago Illinois 60624,Completed,No Entry
SR23-01741525,10/09/23 05:34 PM,430 W DIVERSEY PKWY<br>308<br>Chicago Illinois 60614,Completed,No Cause - Phone Call
SR23-01741580,10/09/23 05:47 PM,5043 N SPRINGFIELD AVE<br>1A<br>Chicago Illinois 60625,Completed,No Entry
SR23-01741829,10/09/23 06:53 PM,150 W MAPLE ST<br>Chicago Illinois 60610,Completed,No Cause - Phone Call
SR23-01741884,10/09/23 07:06 PM,5608 W WELLINGTON AVE<br>2W<br>Chicago Illinois 60634,Completed,No Cause - Phone Call
SR23-01742070,10/09/23 07:54 PM,3615 N PINE GROVE AVE<br>Chicago Illinois 60613,Completed,No Cause - Phone Call
SR23-01742133,10/09/23 08:13 PM,4931 W LEXINGTON ST<br>Chicago Illinois 60644,Completed,No Cause - Phone Call
SR23-01742203,10/09/23 08:31 PM,21 E CHESTNUT ST<br>Entire building<br>Chicago Illinois 60611,Completed,Adequate Temperature
SR23-01742268,10/09/23 09:02 PM,1 W SUPERIOR ST<br>Chicago Illinois 60654,Completed,Adequate Temperature
SR23-01742287,10/09/23 09:09 PM,3711 S VINCENNES AVE<br>Chicago Illinois 60653,Completed,No Entry
SR23-01742354,10/09/23 09:30 PM,5700 N HARLEM AVE<br>Chicago Illinois 60631,Completed,Adequate Temperature
SR23-01742365,10/09/23 09:33 PM,8455 W LELAND AVE<br>Chicago Illinois 60656,Completed,No Cause - Phone Call
SR23-01742403,10/09/23 09:45 PM,1767 W NORTH SHORE AVE<br>Chicago Illinois ,Completed,No Entry
SR23-01742444,10/09/23 10:02 PM,6018 N WINTHROP AVE<br>Chicago Illinois 60660,Completed,Adequate Temperature
SR23-01742818,10/10/23 04:16 AM,8132 S DREXEL AVE<br>1S<br>Chicago Illinois 60619,Completed,No Entry
SR23-01742867,10/10/23 05:46 AM,3207 W 66TH PL<br>Chicago Illinois 60629,Completed,PROCESSED VIOLATION NOTICE
SR23-01743113,10/10/23 07:26 AM,2257 W 111TH ST<br>Unit 3N<br>Chicago Illinois 60643,Completed,No Entry
SR23-01743237,10/10/23 07:45 AM,5600 N SHERIDAN RD<br>Chicago Illinois 60660,Completed,Adequate Temperature
SR23-01743931,10/10/23 08:56 AM,3757 S COTTAGE GROVE AVE<br>Chicago Illinois 60653,Completed,NO SUCH ADDRESS
SR23-01744074,10/10/23 09:07 AM,4608N N KILDARE AVE<br>  ,Completed,No Cause - Phone Call
SR23-01744135,10/10/23 09:12 AM,6328 S TROY ST<br>1A<br>Chicago Illinois 60629,Completed,No Entry
SR23-01744508,10/10/23 09:45 AM,1143 N LAVERGNE AVE<br>Chicago Illinois 60651,Completed,Adequate Temperature
SR23-01744572,10/10/23 09:50 AM,1143 N LAVERGNE AVE<br>Chicago Illinois 60651,Completed,Adequate Temperature
SR23-01744739,10/10/23 10:02 AM,3600 N LAKE SHORE DR<br>2508<br>Chicago Illinois 60613,Completed,
SR23-01745007,10/10/23 10:25 AM,3112 N HAUSSEN CT<br>Chicago Illinois 60618,Completed,No Cause - Phone Call
SR23-01745096,10/10/23 10:32 AM,3656 W HURON ST<br>Chicago Illinois 60624,Completed,No Cause - Phone Call
SR23-01745190,10/10/23 10:38 AM,3149 S MORGAN ST<br>Apt 1R<br>Chicago Illinois 60608,Completed,No Entry
SR23-01745404,10/10/23 10:58 AM,2228 S SAWYER AVE<br>LL Front<br>Chicago Illinois 60623,Completed,Adequate Temperature
SR23-01745473,10/10/23 11:03 AM,7607 S MAY ST<br>Chicago Illinois 60620,Completed,No Cause - Phone Call
SR23-01745565,10/10/23 11:09 AM,6801 S INDIANA AVE<br>Chicago Illinois 60637,Completed,No Entry
SR23-01745774,10/10/23 11:25 AM,64 E 46TH ST<br>Chicago Illinois 60653,Completed,No Entry
SR23-01745860,10/10/23 11:32 AM,7835 S RIDGELAND AVE<br>Chicago Illinois 60649,Completed,Processed for Hearing - Standard
SR23-01746005,10/10/23 11:46 AM,7255 S PHILLIPS AVE<br>  ,Completed,Processed for Hearing - Standard
SR23-01746041,10/10/23 11:49 AM,3600 N LAKE SHORE DR<br>Chicago Illinois 60613,Completed,No Cause - Phone Call
SR23-01746193,10/10/23 12:02 PM,4751 S VINCENNES AVE<br>2<br>Chicago Illinois 60615,Completed,Adequate Temperature
SR23-01746253,10/10/23 12:09 PM,639 W CORNELIA AVE<br>3N<br>Chicago Illinois 60657,Completed,No Entry
SR23-01746798,10/10/23 01:07 PM,1117 E 82ND ST<br>Chicago Illinois 60619,Completed,No Entry
SR23-01746862,10/10/23 01:13 PM,2720 W HARRISON ST<br>Chicago Illinois 60612,Completed,Adequate Temperature
SR23-01746895,10/10/23 01:16 PM,7900 S WABASH AVE<br>Chicago Illinois 60619,Completed,No Entry
SR23-01747147,10/10/23 01:36 PM,10437 S HALE AVE<br>Chicago Illinois 60643,Completed,No Entry
SR23-01747375,10/10/23 01:51 PM,5455 N SHERIDAN RD<br>Chicago Illinois 60640,Completed,No Entry
SR23-01747395,10/10/23 01:52 PM,5225 N KENMORE AVE<br>Chicago Illinois 60640,Completed,Adequate Temperature
SR23-01747534,10/10/23 02:07 PM,5219 W FULTON ST<br>Chicago Illinois 60644,Completed,Adequate Temperature
SR23-01747624,10/10/23 02:14 PM,10718 S CHURCH ST<br>Chicago Illinois 60643,Completed,Processed for Hearing - Standard
SR23-01747719,10/10/23 02:24 PM,150 W MAPLE ST<br>Chicago Illinois 60610,Completed,No Cause - Phone Call
SR23-01748185,10/10/23 02:57 PM,2720 W FOSTER AVE<br>Chicago Illinois 60625,Completed,Adequate Temperature
SR23-01748434,10/10/23 03:23 PM,11029 S VERNON AVE<br>Chicago Illinois 60628,Completed,No Cause
SR23-01748436,10/10/23 03:23 PM,1156 W 54TH ST<br>Chicago Illinois 60609,Completed,No Entry
SR23-01748768,10/10/23 04:18 PM,5964 W SUPERIOR ST<br>5964 w superior<br>Chicago Illinois 60644,Completed,No Cause - Phone Call
SR23-01748880,10/10/23 04:40 PM,1812 N WHIPPLE ST<br>Chicago Illinois 60647,Completed,No Cause - Phone Call
SR23-01748935,10/10/23 04:50 PM,4606 N KILDARE AVE<br>Chicago Illinois 60630,Completed,No Cause - Phone Call
SR23-01749167,10/10/23 05:32 PM,2720 W FOSTER AVE<br>Chicago Illinois 60625,Completed,Adequate Temperature
SR23-01749221,10/10/23 05:43 PM,5903 W FILLMORE ST<br>Chicago Illinois 60644,Completed,No Cause - Phone Call
SR23-01749252,10/10/23 05:51 PM,120 E 44TH ST<br>  ,Completed,Adequate Temperature
SR23-01749512,10/10/23 06:55 PM,6401 N TROY ST<br>2<br>Chicago Illinois 60645,Completed,No Cause - Phone Call
SR23-01749766,10/10/23 08:07 PM,8400 S BURLEY AVE<br>Chicago Illinois 60617,Completed,No Entry
SR23-01750667,10/11/23 05:56 AM,4346 N WINCHESTER AVE<br>3W<br>Chicago Illinois 60613,Completed,No Entry
SR23-01750827,10/11/23 07:06 AM,7800 S PRAIRIE AVE<br>Chicago Illinois 60619,Completed,Adequate Temperature
SR23-01750866,10/11/23 07:14 AM,4842 W ADAMS ST<br>Chicago Illinois 60644,Completed,No Entry
SR23-01750927,10/11/23 07:27 AM,3329 S ASHLAND AVE<br>Chicago Illinois 60608,Completed,Processed for Court
SR23-01750941,10/11/23 07:30 AM,6956 N ASHLAND BLVD<br>Entire Building<br>Chicago Illinois 60626,Completed,Processed for Court
SR23-01751907,10/11/23 09:14 AM,915 W OAKDALE AVE<br>Chicago Illinois 60657,Completed,No Cause - Phone Call
SR23-01751956,10/11/23 09:20 AM,2640 N SHEFFIELD AVE<br>Chicago Illinois 60614,Completed,PROCESSED VIOLATION NOTICE
SR23-01751987,10/11/23 09:23 AM,1327 W CULLERTON ST<br>2<br>Chicago Illinois 60608,Completed,
SR23-01752064,10/11/23 09:29 AM,3724 W LELAND AVE<br>Chicago Illinois 60625,Completed,No Cause - Phone Call
SR23-01752237,10/11/23 09:44 AM,7734 S EAST  END AVE<br>Chicago Illinois 60649,Completed,No Entry
SR23-01752327,10/11/23 09:52 AM,2239 E 81ST ST<br>Chicago Illinois 60617,Completed,No Entry
SR23-01752361,10/11/23 09:55 AM,4752 N ROCKWELL ST<br>2S<br>Chicago Illinois 60625,Completed,No Cause - Phone Call
SR23-01752992,10/11/23 10:44 AM,1410 W JUNEWAY TER<br>Chicago Illinois 60626,Completed,No Entry
SR23-01753043,10/11/23 10:49 AM,5326 N WINTHROP AVE<br>Chicago Illinois 60640,Completed,No Cause - Phone Call
SR23-01753061,10/11/23 10:51 AM,4249 W 21ST PL<br>Chicago Illinois 60623,Completed,Adequate Temperature
SR23-01753152,10/11/23 11:01 AM,5514 S BLACKSTONE AVE<br>Chicago Illinois 60637,Completed,No Entry
SR23-01753709,10/11/23 11:57 AM,3720 W BELLE PLAINE AVE<br>Chicago Illinois 60618,Completed,No Entry
SR23-01754720,10/11/23 01:28 PM,8144 S ELLIS AVE<br>Chicago Illinois 60619,Completed,No Entry
SR23-01755270,10/11/23 02:15 PM,5455 N SHERIDAN RD<br>Chicago Illinois 60640,Completed,Adequate Temperature
SR23-01757080,10/11/23 06:23 PM,5323 W GLADYS AVE<br>Chicago Illinois 60644,Completed,No Cause - Phone Call
SR23-01757243,10/11/23 07:08 PM,3024 W MARQUETTE RD<br>Chicago Illinois 60629,Completed,No Entry
SR23-01757322,10/11/23 07:30 PM,5254 S DORCHESTER AVE<br>Chicago Illinois 60615,Completed,
SR23-01757376,10/11/23 07:45 PM,405 S WABASH AVE<br>1604<br>Chicago Illinois 60605,Completed,NO SUCH ADDRESS
SR23-01757547,10/11/23 08:37 PM,6912 N ASHLAND AVE<br>Chicago Illinois 60626,Completed,No Cause - Phone Call
SR23-01757802,10/11/23 10:11 PM,10741 S PULASKI RD<br>All Units<br>Chicago Illinois 60655,Completed,No Entry
SR23-01758192,10/12/23 04:10 AM,5645 W WASHINGTON BLVD<br>Chicago Illinois 60644,Completed,No Cause - Phone Call
SR23-01758323,10/12/23 06:21 AM,5334 W HARRISON ST<br>2n<br>Chicago Illinois 60644,Completed,Processed for Court
SR23-01758787,10/12/23 08:07 AM,5034 S CHAMPLAIN AVE<br>Chicago Illinois 60615,Completed,Processed for Hearing - Standard
SR23-01759938,10/12/23 09:47 AM,11029 S VERNON AVE<br>Chicago Illinois 60628,Completed,No Cause
SR23-01760893,10/12/23 11:13 AM,7201 S FAIRFIELD AVE<br>Chicago Illinois 60629,Completed,Adequate Temperature
SR23-01762093,10/12/23 01:09 PM,5700 N SHERIDAN RD<br>Chicago Illinois 60660,Completed,Adequate Temperature
SR23-01762212,10/12/23 01:22 PM,1948 S TRUMBULL AVE<br>Chicago Illinois 60623,Completed,No Cause
SR23-01763190,10/12/23 02:47 PM,6400 N SHERIDAN RD<br>Chicago Illinois 60626,Completed,Adequate Temperature
SR23-01763241,10/12/23 02:53 PM,4842 W ADAMS ST<br>Chicago Illinois 60644,Completed,No Cause - Phone Call
SR23-01763497,10/12/23 03:25 PM,7820 S SOUTH SHORE DR<br>Chicago Illinois 60649,Completed,No Entry
SR23-01763898,10/12/23 04:27 PM,522 W DIVERSEY PKWY<br>Chicago Illinois 60614,Completed,Adequate Temperature
SR23-01764184,10/12/23 05:32 PM,6912 N ASHLAND BLVD<br>Chicago Illinois 60626,Completed,PROCESSED VIOLATION NOTICE
SR23-01764713,10/12/23 07:51 PM,1364 W ESTES AVE<br>  ,Completed,No Cause - Phone Call
SR23-01765565,10/13/23 04:25 AM,7019 N RIDGE AVE<br>1A<br>Chicago Illinois 60645,Completed,No Cause - Phone Call
SR23-01766230,10/13/23 08:20 AM,1119 S TROY ST<br>Chicago Illinois 60612,Completed,PROCESSED VIOLATION NOTICE
SR23-01766638,10/13/23 09:04 AM,6110 N KENMORE AVE<br>Chicago Illinois 60660,Completed,Adequate Temperature
SR23-01766873,10/13/23 09:27 AM,5407 S DREXEL AVE<br>3<br>Chicago Illinois 60615,Completed,PROCESSED VIOLATION NOTICE
SR23-01767382,10/13/23 10:10 AM,5775 N RIDGE AVE<br>  ,Completed,Adequate Temperature
SR23-01767769,10/13/23 10:41 AM,5156 S WABASH AVE<br>Chicago Illinois 60615,Completed,No Entry
SR23-01767828,10/13/23 10:46 AM,6744 S EVANS AVE<br>Chicago Illinois 60637,Completed,No Entry
SR23-01768179,10/13/23 11:22 AM,6567 N NORTHWEST HWY<br>Chicago Illinois 60631,Completed,No Cause - Phone Call
SR23-01768379,10/13/23 11:45 AM,1646 N MASON AVE<br>Chicago Illinois 60639,Completed,No Entry
SR23-01768391,10/13/23 11:46 AM,2657 W 65TH ST<br>Chicago Illinois 60629,Completed,No Entry
SR23-01768608,10/13/23 12:12 PM,1364 W ESTES AVE<br>  ,Completed,
SR23-01768802,10/13/23 12:32 PM,3755 S COTTAGE GROVE AVE<br>Chicago Illinois 60653,Completed,No Entry
SR23-01768893,10/13/23 12:43 PM,11710 S HALSTED ST<br>Chicago Illinois 60628,Completed,No Entry
SR23-01769079,10/13/23 01:00 PM,440 N DRAKE AVE<br>Chicago Illinois 60624,Completed,No Cause - Phone Call
SR23-01769660,10/13/23 01:57 PM,3830 W 63RD ST<br>Chicago Illinois 60629,Completed,No Entry
SR23-01770671,10/13/23 03:48 PM,1709 E 84TH ST<br>Chicago Illinois 60617,Completed,No Entry
SR23-01771072,10/13/23 04:59 PM,1101 S CANAL ST<br>Chicago Illinois 60607,Completed,PROCESSED VIOLATION NOTICE
SR23-01771345,10/13/23 06:02 PM,4540 N HAZEL ST<br>Chicago Illinois 60640,Completed,No Cause - Phone Call
SR23-01771358,10/13/23 06:05 PM,5814 N GLENWOOD AVE<br>Chicago Illinois 60660,Completed,Adequate Temperature
SR23-01771661,10/13/23 07:26 PM,3941 W 63RD ST<br>Chicago Illinois 60629,Completed,Adequate Temperature
SR23-01771941,10/13/23 08:41 PM,4414 N WHIPPLE ST<br>APT 3 S<br>Chicago Illinois 60625,Completed,Active Case
SR23-01772658,10/14/23 04:46 AM,7200 S COLES AVE<br>Chicago Illinois 60649,Completed,No Entry
SR23-01773086,10/14/23 08:35 AM,869 W BUENA AVE<br>Chicago Illinois 60613,Completed,Adequate Temperature
SR23-01773203,10/14/23 08:59 AM,6500 N BOSWORTH AVE<br>  ,Completed,Adequate Temperature
SR23-01773352,10/14/23 09:28 AM,907 N HOYNE AVE<br>1R<br>Chicago Illinois 60622,Completed,No Cause - Phone Call
SR23-01773387,10/14/23 09:36 AM,5858 N SHERIDAN RD<br>Chicago Illinois 60660,Completed,No Cause - Phone Call
SR23-01773697,10/14/23 10:54 AM,8000 S CHAMPLAIN AVE<br>2<br>Chicago Illinois 60619,Completed,Processed for Hearing - Standard
SR23-01774070,10/14/23 12:10 PM,907 W ARGYLE ST<br>201<br>Chicago Illinois 60640,Completed,No Cause - Phone Call
SR23-01774651,10/14/23 02:21 PM,3151 N LONG AVE<br>1<br>Chicago Illinois 60641,Completed,PROCESSED VIOLATION NOTICE
SR23-01774829,10/14/23 03:08 PM,5715 N KENMORE AVE<br>3A<br>Chicago Illinois 60660,Completed,No Cause - Phone Call
SR23-01774853,10/14/23 03:14 PM,5715 N KENMORE AVE<br>3A<br>Chicago Illinois 60660,Completed,
SR23-01774907,10/14/23 03:29 PM,4416 N WHIPPLE ST<br>3E<br>Chicago Illinois 60625,Completed,PROCESSED VIOLATION NOTICE
SR23-01775156,10/14/23 04:43 PM,8132 S DREXEL AVE<br>  ,Completed,Adequate Temperature
