,SR Number,Date/Time Opened,Service Request Address,Service Request Status,Answer,street_address,zipcode,apt_num,city,state
12761,SR23-00031532,01/06/23 07:55 PM,6430 W 64TH PL<br>  ,Completed,Adequate Temperature,6430 W 64TH PL,,   ,Chicago,Illinois
12762,SR23-00031840,01/06/23 10:41 PM,9320 S ESCANABA AVE<br>  ,Completed,No Entry,9320 S ESCANABA AVE,,   ,Chicago,Illinois
12763,SR23-00032223,01/07/23 07:02 AM,6731 S PAXTON AVE<br>  ,Completed,Processed for Hearing - Standard,6731 S PAXTON AVE,,   ,Chicago,Illinois
12764,SR23-00032263,01/07/23 07:19 AM,4645 N SHERIDAN RD<br>the whole building<br>  ,Completed,No Cause - Phone Call,4645 N SHERIDAN RD,,the whole building   ,Chicago,Illinois
12765,SR23-00032326,01/07/23 07:41 AM,727 E 60TH ST<br>apt: 317<br>  ,Completed,No Entry,727 E 60TH ST,,apt: 317   ,Chicago,Illinois
12766,SR23-00032444,01/07/23 08:17 AM,7356 S HARVARD AVE<br>  ,Completed,No Cause - Phone Call,7356 S HARVARD AVE,,   ,Chicago,Illinois
12767,SR23-00032616,01/07/23 09:13 AM,1214 E 53RD ST<br>  ,Completed,PROCESSED VIOLATION NOTICE,1214 E 53RD ST,,   ,Chicago,Illinois
12768,SR23-00032686,01/07/23 09:35 AM,7356 S HARVARD AVE<br>  ,Completed,,7356 S HARVARD AVE,,   ,Chicago,Illinois
12769,SR23-00032693,01/07/23 09:38 AM,3216 W ALTGELD ST<br>  ,Completed,No Entry,3216 W ALTGELD ST,,   ,Chicago,Illinois
12770,SR23-00032698,01/07/23 09:40 AM,7356 S HARVARD AVE<br>  ,Completed,,7356 S HARVARD AVE,,   ,Chicago,Illinois
12771,SR23-00032842,01/07/23 11:52 AM,5536 S CARPENTER ST<br>Chicago IL ,Completed,Processed for Hearing - Standard,5536 S CARPENTER ST,,Chicago IL  ,Chicago,Illinois
12772,SR23-00032929,01/07/23 01:03 PM,2827 W SUMMERDALE AVE<br>Chicago IL ,Completed,Processed for Hearing - Standard,2827 W SUMMERDALE AVE,,Chicago IL  ,Chicago,Illinois
12773,SR23-00033009,01/07/23 01:51 PM,8048 S DOBSON AVE<br>Chicago IL ,Completed,Processed for Court,8048 S DOBSON AVE,,Chicago IL  ,Chicago,Illinois
12774,SR23-00033294,01/07/23 04:55 PM,2815 W 25TH PL<br>Chicago IL ,Completed,No Cause - Phone Call,2815 W 25TH PL,,Chicago IL  ,Chicago,Illinois
12775,SR23-00033671,01/07/23 09:00 PM,645 N CHRISTIANA AVE<br>Chicago IL ,Completed,No Entry,645 N CHRISTIANA AVE,,Chicago IL  ,Chicago,Illinois
12776,SR23-00033911,01/08/23 01:11 AM,5130 S GREENWOOD AVE<br>  ,Completed,Adequate Temperature,5130 S GREENWOOD AVE,,   ,Chicago,Illinois
12777,SR23-00034051,01/08/23 06:36 AM,2040 E 68TH ST<br>  ,Completed,No Cause - Phone Call,2040 E 68TH ST,,   ,Chicago,Illinois
12778,SR23-00034210,01/08/23 07:39 AM,3043 N LOWELL AVE<br>  ,Completed,NO SUCH ADDRESS,3043 N LOWELL AVE,,   ,Chicago,Illinois
12779,SR23-00034333,01/08/23 08:15 AM,7828 S LAFLIN ST<br>  ,Completed,No Cause - Phone Call,7828 S LAFLIN ST,,   ,Chicago,Illinois
12780,SR23-00034461,01/08/23 08:52 AM,6232 S UNIVERSITY AVE<br>  ,Completed,Processed for Court,6232 S UNIVERSITY AVE,,   ,Chicago,Illinois
12781,SR23-00034476,01/08/23 09:01 AM,7131 S STATE ST<br>  ,Completed,Adequate Temperature,7131 S STATE ST,,   ,Chicago,Illinois
12782,SR23-00034549,01/08/23 09:20 AM,4209 S CALIFORNIA AVE<br>1<br>  ,Completed,No Cause - Phone Call,4209 S CALIFORNIA AVE,,1   ,Chicago,Illinois
12783,SR23-00034571,01/08/23 09:25 AM,4209 S CALIFORNIA AVE<br>  ,Completed,,4209 S CALIFORNIA AVE,,   ,Chicago,Illinois
12784,SR23-00034678,01/08/23 09:46 AM,4235 W 21ST ST<br>  ,Completed,No Cause - Phone Call,4235 W 21ST ST,,   ,Chicago,Illinois
12785,SR23-00034709,01/08/23 09:55 AM,8056 S KINGSTON AVE<br>  ,Completed,No Cause - Phone Call,8056 S KINGSTON AVE,,   ,Chicago,Illinois
12786,SR23-00034749,01/08/23 10:04 AM,4235 W 21ST ST<br>  ,Completed,No Cause - Phone Call,4235 W 21ST ST,,   ,Chicago,Illinois
12787,SR23-00034886,01/08/23 10:55 AM,3910 W 26TH ST<br>  ,Completed,Transfer to Ventilation Violation,3910 W 26TH ST,,   ,Chicago,Illinois
12788,SR23-00034886,01/08/23 10:55 AM,3910 W 26TH ST<br>  ,Completed,No Entry,3910 W 26TH ST,,   ,Chicago,Illinois
12789,SR23-00036158,01/08/23 08:08 PM,656 N TRUMBULL AVE<br>  ,Completed,Processed for Court,656 N TRUMBULL AVE,,   ,Chicago,Illinois
12790,SR23-00036489,01/08/23 09:45 PM,536 W ADDISON ST<br>PPM<br>  ,Completed,No Entry,536 W ADDISON ST,,PPM   ,Chicago,Illinois
12791,SR23-00038485,01/09/23 08:38 AM,2734 W GREENLEAF AVE<br>  ,Completed,No Entry,2734 W GREENLEAF AVE,,   ,Chicago,Illinois
12792,SR23-00038610,01/09/23 08:49 AM,4046 W LAWRENCE AVE<br>  ,Completed,Processed for Hearing - Standard,4046 W LAWRENCE AVE,,   ,Chicago,Illinois
12793,SR23-00038658,01/09/23 08:53 AM,4000 W DIVERSEY AVE<br>505<br>  ,Completed,Active Case,4000 W DIVERSEY AVE,,505   ,Chicago,Illinois
12794,SR23-00039353,01/09/23 09:45 AM,8007 S EBERHART AVE<br>  ,Completed,Adequate Temperature,8007 S EBERHART AVE,,   ,Chicago,Illinois
12795,SR23-00039419,01/09/23 09:50 AM,6500 N RICHMOND ST<br>  ,Completed,NO SUCH ADDRESS,6500 N RICHMOND ST,,   ,Chicago,Illinois
12796,SR23-00039491,01/09/23 09:56 AM,8001 S COLFAX AVE<br>  ,Completed,No Entry,8001 S COLFAX AVE,,   ,Chicago,Illinois
12797,SR23-00039677,01/09/23 10:13 AM,244 E 121ST PL<br>  ,Completed,No Cause,244 E 121ST PL,,   ,Chicago,Illinois
12798,SR23-00039677,01/09/23 10:13 AM,244 E 121ST PL<br>  ,Completed,Transfer to Boiler Violation,244 E 121ST PL,,   ,Chicago,Illinois
12799,SR23-00039956,01/09/23 10:34 AM,815 E 81ST ST<br>  ,Completed,Adequate Temperature,815 E 81ST ST,,   ,Chicago,Illinois
12800,SR23-00040318,01/09/23 11:01 AM,2815 W 25TH PL<br>  ,Completed,,2815 W 25TH PL,,   ,Chicago,Illinois
12801,SR23-00040817,01/09/23 11:39 AM,2116 S FAIRFIELD AVE<br>  ,Completed,Processed for Court,2116 S FAIRFIELD AVE,,   ,Chicago,Illinois
12802,SR23-00041290,01/09/23 12:20 PM,4559 S KEELER AVE<br>  ,Completed,No Entry,4559 S KEELER AVE,,   ,Chicago,Illinois
12803,SR23-00041883,01/09/23 01:13 PM,1928 W DIVISION ST<br>  ,Completed,No Cause - Phone Call,1928 W DIVISION ST,,   ,Chicago,Illinois
12804,SR23-00042105,01/09/23 01:31 PM,511 E 80TH ST<br>  ,Completed,No Entry,511 E 80TH ST,,   ,Chicago,Illinois
12805,SR23-00043082,01/09/23 02:49 PM,1214 E 53RD ST<br>Kimbark Beverage Shoppe<br>  ,Completed,,1214 E 53RD ST,,Kimbark Beverage Shoppe   ,Chicago,Illinois
12806,SR23-00043117,01/09/23 02:52 PM,1214 E 53RD ST<br>  ,Completed,,1214 E 53RD ST,,   ,Chicago,Illinois
12807,SR23-00043481,01/09/23 03:28 PM,8627 S INGLESIDE AVE<br>  ,Completed,No Entry,8627 S INGLESIDE AVE,,   ,Chicago,Illinois
12808,SR23-00043552,01/09/23 03:34 PM,5456 W FERDINAND ST<br>2FLR & Attic<br>  ,Completed,Processed for Court,5456 W FERDINAND ST,,2FLR & Attic   ,Chicago,Illinois
12809,SR23-00043677,01/09/23 03:49 PM,4816 W ST PAUL AVE<br>  ,Completed,No Entry,4816 W ST PAUL AVE,,   ,Chicago,Illinois
12810,SR23-00044812,01/09/23 06:53 PM,3424 S LEAVITT ST<br>  ,Completed,Transfer to Ventilation Violation,3424 S LEAVITT ST,,   ,Chicago,Illinois
12811,SR23-00044812,01/09/23 06:53 PM,3424 S LEAVITT ST<br>  ,Completed,No Cause,3424 S LEAVITT ST,,   ,Chicago,Illinois
12812,SR23-00045194,01/09/23 08:11 PM,8627 S INGLESIDE AVE<br>  ,Completed,,8627 S INGLESIDE AVE,,   ,Chicago,Illinois
12813,SR23-00045600,01/09/23 09:53 PM,1751 E 73RD PL<br>  ,Completed,No Entry,1751 E 73RD PL,,   ,Chicago,Illinois
12814,SR23-00045849,01/10/23 01:11 AM,6969 W DIVERSEY AVE<br>  ,Completed,No Cause - Phone Call,6969 W DIVERSEY AVE,,   ,Chicago,Illinois
12815,SR23-00047442,01/10/23 09:30 AM,6730 S CHAPPEL AVE<br>  ,Completed,No Entry,6730 S CHAPPEL AVE,,   ,Chicago,Illinois
12816,SR23-00047442,01/10/23 09:30 AM,6730 S CHAPPEL AVE<br>  ,Completed,Transfer to Boiler Violation,6730 S CHAPPEL AVE,,   ,Chicago,Illinois
12817,SR23-00048316,01/10/23 11:09 AM,3424 S LEAVITT ST<br>  ,Completed,,3424 S LEAVITT ST,,   ,Chicago,Illinois
12818,SR23-00048680,01/10/23 11:43 AM,345 E 81ST ST<br>  ,Completed,No Cause - Phone Call,345 E 81ST ST,,   ,Chicago,Illinois
12819,SR23-00048759,01/10/23 11:51 AM,744 W 77TH ST<br>  ,Completed,No Cause,744 W 77TH ST,,   ,Chicago,Illinois
12820,SR23-00049291,01/10/23 12:43 PM,3411 W FRANKLIN BLVD<br>  ,Completed,No Entry,3411 W FRANKLIN BLVD,,   ,Chicago,Illinois
12821,SR23-00049890,01/10/23 01:39 PM,3700 W FULLERTON AVE<br>13<br>  ,Completed,No Cause - Phone Call,3700 W FULLERTON AVE,,13   ,Chicago,Illinois
12822,SR23-00050354,01/10/23 02:24 PM,6616 W GEORGE ST<br>  ,Completed,Processed for Hearing - Standard,6616 W GEORGE ST,,   ,Chicago,Illinois
12823,SR23-00051524,01/10/23 05:13 PM,1533 W WARREN BLVD<br>  ,Completed,PROCESSED VIOLATION NOTICE,1533 W WARREN BLVD,,   ,Chicago,Illinois
12824,SR23-00053335,01/11/23 07:59 AM,3445 S RHODES AVE<br>101<br>  ,Completed,No Cause - Phone Call,3445 S RHODES AVE,,101   ,Chicago,Illinois
12825,SR23-00053336,01/11/23 07:59 AM,1765 W 95TH ST<br>  ,Completed,Processed for Court,1765 W 95TH ST,,   ,Chicago,Illinois
12826,SR23-00054124,01/11/23 09:38 AM,10537 S LAFAYETTE AVE<br>  ,Completed,No Entry,10537 S LAFAYETTE AVE,,   ,Chicago,Illinois
12827,SR23-00054141,01/11/23 09:41 AM,4504 S DREXEL AVE<br>  ,Completed,Processed for Hearing - Standard,4504 S DREXEL AVE,,   ,Chicago,Illinois
12828,SR23-00054369,01/11/23 10:14 AM,6712 S CAMPBELL AVE<br>  ,Completed,No Cause - Phone Call,6712 S CAMPBELL AVE,,   ,Chicago,Illinois
12829,SR23-00054889,01/11/23 11:06 AM,6731 S PAXTON AVE<br>  ,Completed,Active Case,6731 S PAXTON AVE,,   ,Chicago,Illinois
12830,SR23-00054956,01/11/23 11:13 AM,8119 S MARYLAND AVE<br>  ,Completed,Processed for Court,8119 S MARYLAND AVE,,   ,Chicago,Illinois
12831,SR23-00055711,01/11/23 12:37 PM,3424 S LEAVITT ST<br>  ,Completed,Processed for Court,3424 S LEAVITT ST,,   ,Chicago,Illinois
12832,SR23-00056276,01/11/23 01:40 PM,1608 W SHERWIN AVE<br>Unit 208<br>  ,Completed,No Entry,1608 W SHERWIN AVE,,Unit 208   ,Chicago,Illinois
12833,SR23-00056334,01/11/23 01:46 PM,1303 W 80TH ST<br>  ,Completed,No Entry,1303 W 80TH ST,,   ,Chicago,Illinois
12834,SR23-00056487,01/11/23 02:02 PM,3702 N KEDZIE AVE<br>  ,Completed,Processed for Hearing - Standard,3702 N KEDZIE AVE,,   ,Chicago,Illinois
12835,SR23-00057068,01/11/23 03:06 PM,3327 W 84TH PL<br>  ,Completed,NO SUCH ADDRESS,3327 W 84TH PL,,   ,Chicago,Illinois
12836,SR23-00057122,01/11/23 03:14 PM,3329 W 84TH PL<br>  ,Completed,Processed for Hearing - Standard,3329 W 84TH PL,,   ,Chicago,Illinois
12837,SR23-00057535,01/11/23 04:19 PM,2738 W DEVON AVE<br>  ,Completed,No Cause - Phone Call,2738 W DEVON AVE,,   ,Chicago,Illinois
12838,SR23-00057649,01/11/23 04:40 PM,1528 W MORSE AVE<br>  ,Completed,PROCESSED VIOLATION NOTICE,1528 W MORSE AVE,,   ,Chicago,Illinois
12839,SR23-00057749,01/11/23 04:54 PM,1117 N LAWNDALE AVE<br>  ,Completed,No Entry,1117 N LAWNDALE AVE,,   ,Chicago,Illinois
12840,SR23-00057887,01/11/23 05:24 PM,5334 W HARRISON ST<br>2n<br>  ,Completed,No Entry,5334 W HARRISON ST,,2n   ,Chicago,Illinois
12841,SR23-00059118,01/12/23 01:10 AM,6439 N RICHMOND ST<br>  ,Completed,No Cause - Phone Call,6439 N RICHMOND ST,,   ,Chicago,Illinois
12842,SR23-00059707,01/12/23 08:00 AM,6956 N ASHLAND AVE<br>  ,Completed,No Entry,6956 N ASHLAND AVE,,   ,Chicago,Illinois
12843,SR23-00061647,01/12/23 11:29 AM,2438 W 25TH ST<br>  ,Completed,No Cause - Phone Call,2438 W 25TH ST,,   ,Chicago,Illinois
12844,SR23-00061878,01/12/23 11:53 AM,50 W 71ST ST<br>  ,Completed,Active Case,50 W 71ST ST,,   ,Chicago,Illinois
12845,SR23-00062270,01/12/23 12:44 PM,1925 W WARNER AVE<br>  ,Completed,No Cause - Phone Call,1925 W WARNER AVE,,   ,Chicago,Illinois
12846,SR23-00062926,01/12/23 01:54 PM,8014 S COLES AVE<br>  ,Completed,No Entry,8014 S COLES AVE,,   ,Chicago,Illinois
12847,SR23-00062977,01/12/23 02:01 PM,6969 W DIVERSEY AVE<br>  ,Completed,Processed for Court,6969 W DIVERSEY AVE,,   ,Chicago,Illinois
12848,SR23-00063068,01/12/23 02:12 PM,10513 S INDIANA AVE<br>  ,Completed,Transfer to Boiler Violation,10513 S INDIANA AVE,,   ,Chicago,Illinois
12849,SR23-00063068,01/12/23 02:12 PM,10513 S INDIANA AVE<br>  ,Completed,No Cause,10513 S INDIANA AVE,,   ,Chicago,Illinois
12850,SR23-00063382,01/12/23 02:45 PM,5221 N ELSTON AVE<br>1b<br>  ,Completed,No Entry,5221 N ELSTON AVE,,1b   ,Chicago,Illinois
12851,SR23-00063861,01/12/23 04:01 PM,3937 N WAYNE AVE<br>  ,Completed,No Entry,3937 N WAYNE AVE,,   ,Chicago,Illinois
12852,SR23-00064425,01/12/23 06:30 PM,4831 W BELLE PLAINE AVE<br>308<br>  ,Completed,No Cause - Phone Call,4831 W BELLE PLAINE AVE,,308   ,Chicago,Illinois
12853,SR23-00064546,01/12/23 07:18 PM,5334 W HARRISON ST<br>2n<br>  ,Completed,No Cause - Phone Call,5334 W HARRISON ST,,2n   ,Chicago,Illinois
12854,SR23-00064971,01/12/23 10:40 PM,5219 S PEORIA ST<br>Apartment 2F<br>  ,Completed,No Cause - Phone Call,5219 S PEORIA ST,,Apartment 2F   ,Chicago,Illinois
12855,SR23-00064982,01/12/23 10:47 PM,4588 N ELSTON AVE<br>  ,Completed,No Entry,4588 N ELSTON AVE,,   ,Chicago,Illinois
12856,SR23-00066017,01/13/23 08:36 AM,5739 S CALUMET AVE<br>  ,Completed,No Cause - Phone Call,5739 S CALUMET AVE,,   ,Chicago,Illinois
12857,SR23-00066073,01/13/23 08:43 AM,5347 N RAVENSWOOD AVE<br>  ,Completed,No Entry,5347 N RAVENSWOOD AVE,,   ,Chicago,Illinois
12858,SR23-00066209,01/13/23 09:01 AM,5920 W CULLOM AVE<br>  ,Completed,No Cause - Phone Call,5920 W CULLOM AVE,,   ,Chicago,Illinois
12859,SR23-00066366,01/13/23 09:22 AM,230 E 121ST PL<br>  ,Completed,No Cause - Phone Call,230 E 121ST PL,,   ,Chicago,Illinois
12860,SR23-00066694,01/13/23 09:59 AM,214 E 121ST PL<br>  ,Completed,Active Case,214 E 121ST PL,,   ,Chicago,Illinois
12861,SR23-00067032,01/13/23 10:38 AM,4739 S INGLESIDE AVE<br>  ,Completed,No Entry,4739 S INGLESIDE AVE,,   ,Chicago,Illinois
12862,SR23-00067666,01/13/23 11:58 AM,3324 N LONG AVE<br>  ,Completed,Processed for Court,3324 N LONG AVE,,   ,Chicago,Illinois
12863,SR23-00070187,01/13/23 05:53 PM,4588 N ELSTON AVE<br>  ,Completed,,4588 N ELSTON AVE,,   ,Chicago,Illinois
12864,SR23-00070391,01/13/23 06:45 PM,2111 S CLARK ST<br>  ,Completed,Transfer to Boiler Violation,2111 S CLARK ST,,   ,Chicago,Illinois
12865,SR23-00070391,01/13/23 06:45 PM,2111 S CLARK ST<br>  ,Completed,Transfer to Furnace Violation,2111 S CLARK ST,,   ,Chicago,Illinois
12866,SR23-00070391,01/13/23 06:45 PM,2111 S CLARK ST<br>  ,Completed,No Entry,2111 S CLARK ST,,   ,Chicago,Illinois
12867,SR23-00070536,01/13/23 07:23 PM,5017 N WOLCOTT AVE<br>  ,Completed,No Entry,5017 N WOLCOTT AVE,,   ,Chicago,Illinois
12868,SR23-00071453,01/14/23 07:51 AM,6322 S RICHMOND ST<br>  ,Completed,No Cause,6322 S RICHMOND ST,,   ,Chicago,Illinois
12869,SR23-00071473,01/14/23 08:00 AM,5131 W HENDERSON ST<br>  ,Completed,No Cause - Phone Call,5131 W HENDERSON ST,,   ,Chicago,Illinois
12870,SR23-00071537,01/14/23 08:18 AM,3755 W 55TH ST<br>  ,Completed,No Entry,3755 W 55TH ST,,   ,Chicago,Illinois
12871,SR23-00071548,01/14/23 08:24 AM,1420 W MARQUETTE RD<br>  ,Completed,No Cause - Phone Call,1420 W MARQUETTE RD,,   ,Chicago,Illinois
12872,SR23-00071760,01/14/23 09:26 AM,2703 N CLARK ST<br>  ,Completed,No Cause - Phone Call,2703 N CLARK ST,,   ,Chicago,Illinois
12873,SR23-00071862,01/14/23 09:52 AM,817 E 81ST ST<br>  ,Completed,No Cause,817 E 81ST ST,,   ,Chicago,Illinois
12874,SR23-00072069,01/14/23 11:01 AM,7144 S BENNETT AVE<br>  ,Completed,PROCESSED VIOLATION NOTICE,7144 S BENNETT AVE,,   ,Chicago,Illinois
12875,SR23-00072141,01/14/23 11:20 AM,2242 S PRINCETON AVE<br>  ,Completed,Adequate Temperature,2242 S PRINCETON AVE,,   ,Chicago,Illinois
12876,SR23-00072523,01/14/23 01:20 PM,1701 W 43RD ST<br>  ,Completed,No Entry,1701 W 43RD ST,,   ,Chicago,Illinois
12877,SR23-00072529,01/14/23 01:24 PM,1424 E 68TH ST<br>  ,Completed,No Cause,1424 E 68TH ST,,   ,Chicago,Illinois
12878,SR23-00072639,01/14/23 02:03 PM,714 W 14TH ST<br>604<br>  ,Completed,NO SUCH ADDRESS,714 W 14TH ST,,604   ,Chicago,Illinois
12879,SR23-00072640,01/14/23 02:04 PM,7914 S CARPENTER ST<br>2<br>  ,Completed,No Entry,7914 S CARPENTER ST,,2   ,Chicago,Illinois
12880,SR23-00072903,01/14/23 03:30 PM,35 E 55TH ST<br>43#4<br>  ,Completed,No Cause - Phone Call,35 E 55TH ST,,43#4   ,Chicago,Illinois
12881,SR23-00073248,01/14/23 05:48 PM,6610 S KENWOOD AVE<br>  ,Completed,No Entry,6610 S KENWOOD AVE,,   ,Chicago,Illinois
12882,SR23-00074152,01/15/23 06:34 AM,2703 N CLARK ST<br>  ,Completed,,2703 N CLARK ST,,   ,Chicago,Illinois
12883,SR23-00074233,01/15/23 07:27 AM,6232 S UNIVERSITY AVE<br>  ,Completed,No Cause,6232 S UNIVERSITY AVE,,   ,Chicago,Illinois
12884,SR23-00074726,01/15/23 11:00 AM,4627 S ASHLAND AVE<br>  ,Completed,Processed for Court,4627 S ASHLAND AVE,,   ,Chicago,Illinois
12885,SR23-00075839,01/15/23 04:23 PM,6636 S WOODLAWN AVE<br>  ,Completed,No Cause,6636 S WOODLAWN AVE,,   ,Chicago,Illinois
12886,SR23-00077682,01/16/23 09:13 AM,819 E 90TH ST<br>  ,Completed,No Cause - Phone Call,819 E 90TH ST,,   ,Chicago,Illinois
12887,SR23-00078172,01/16/23 10:37 AM,7930 S AVALON AVE<br>  ,Completed,Processed for Hearing - Standard,7930 S AVALON AVE,,   ,Chicago,Illinois
12888,SR23-00079318,01/16/23 01:49 PM,1533 W WARREN BLVD<br>Apt 402<br>  ,Completed,Adequate Temperature,1533 W WARREN BLVD,,Apt 402   ,Chicago,Illinois
12889,SR23-00080372,01/16/23 06:04 PM,4410 S CALIFORNIA AVE<br>2F<br>  ,Completed,No Entry,4410 S CALIFORNIA AVE,,2F   ,Chicago,Illinois
12890,SR23-00080799,01/16/23 08:53 PM,5334 W HARRISON ST<br>2n<br>  ,Completed,,5334 W HARRISON ST,,2n   ,Chicago,Illinois
12891,SR23-00081586,01/17/23 07:13 AM,4532 S CALUMET AVE<br>3<br>  ,Completed,No Entry,4532 S CALUMET AVE,,3   ,Chicago,Illinois
12892,SR23-00082742,01/17/23 09:38 AM,11717 S VINCENNES AVE<br>  ,Completed,Adequate Temperature,11717 S VINCENNES AVE,,   ,Chicago,Illinois
12893,SR23-00082914,01/17/23 09:55 AM,1350 E 47TH PL<br>  ,Completed,No Cause - Phone Call,1350 E 47TH PL,,   ,Chicago,Illinois
12894,SR23-00083155,01/17/23 10:17 AM,26 E 84TH ST<br>  ,Completed,Adequate Temperature,26 E 84TH ST,,   ,Chicago,Illinois
12895,SR23-00083765,01/17/23 11:22 AM,6944 S CARPENTER ST<br>  ,Completed,No Entry,6944 S CARPENTER ST,,   ,Chicago,Illinois
12896,SR23-00084787,01/17/23 01:07 PM,10331 S EBERHART AVE<br>  ,Completed,Active Case,10331 S EBERHART AVE,,   ,Chicago,Illinois
12897,SR23-00085230,01/17/23 01:53 PM,10537 S LAFAYETTE AVE<br>  ,Completed,Processed for Court,10537 S LAFAYETTE AVE,,   ,Chicago,Illinois
12898,SR23-00086313,01/17/23 04:22 PM,1354 W 14TH ST<br>  ,Completed,NO SUCH ADDRESS,1354 W 14TH ST,,   ,Chicago,Illinois
12899,SR23-00086568,01/17/23 05:07 PM,1313 S SPAULDING AVE<br>1<br>  ,Completed,Processed for Hearing - Standard,1313 S SPAULDING AVE,,1   ,Chicago,Illinois
12900,SR23-00087243,01/17/23 08:02 PM,3937 N WAYNE AVE<br>  ,Completed,,3937 N WAYNE AVE,,   ,Chicago,Illinois
12901,SR23-00087279,01/17/23 08:12 PM,5150 N MILWAUKEE AVE<br>  ,Completed,Adequate Temperature,5150 N MILWAUKEE AVE,,   ,Chicago,Illinois
12902,SR23-00087762,01/18/23 01:43 AM,1605 W LUNT AVE<br>townhouse<br>  ,Completed,No Cause,1605 W LUNT AVE,,townhouse   ,Chicago,Illinois
12903,SR23-00088467,01/18/23 08:20 AM,5509 S WHIPPLE ST<br>  ,Completed,No Entry,5509 S WHIPPLE ST,,   ,Chicago,Illinois
12904,SR23-00088567,01/18/23 08:31 AM,1533 W WARREN BLVD<br>  ,Completed,,1533 W WARREN BLVD,,   ,Chicago,Illinois
12905,SR23-00088808,01/18/23 09:03 AM,4355 W LE MOYNE ST<br>  ,Completed,Processed for Court,4355 W LE MOYNE ST,,   ,Chicago,Illinois
12906,SR23-00088857,01/18/23 09:08 AM,10329 S EBERHART AVE<br>  ,Completed,No Cause - Phone Call,10329 S EBERHART AVE,,   ,Chicago,Illinois
12907,SR23-00089343,01/18/23 09:57 AM,6134 S COTTAGE GROVE AVE<br>  ,Completed,Adequate Temperature,6134 S COTTAGE GROVE AVE,,   ,Chicago,Illinois
12908,SR23-00089591,01/18/23 10:22 AM,4726 S WOODLAWN AVE<br>  ,Completed,No Entry,4726 S WOODLAWN AVE,,   ,Chicago,Illinois
12909,SR23-00089826,01/18/23 10:45 AM,6931 N GREENVIEW AVE<br>  ,Completed,No Cause - Phone Call,6931 N GREENVIEW AVE,,   ,Chicago,Illinois
12910,SR23-00090719,01/18/23 12:18 PM,8056 S CALUMET AVE<br>  ,Completed,Processed for Court,8056 S CALUMET AVE,,   ,Chicago,Illinois
12911,SR23-00091060,01/18/23 12:59 PM,6134 S COTTAGE GROVE AVE<br>  ,Completed,,6134 S COTTAGE GROVE AVE,,   ,Chicago,Illinois
12912,SR23-00093525,01/18/23 06:06 PM,1607 E 50TH PL<br>  ,Completed,No Entry,1607 E 50TH PL,,   ,Chicago,Illinois
12913,SR23-00093536,01/18/23 06:10 PM,1906 W WAVELAND AVE<br>2F<br>  ,Completed,No Entry,1906 W WAVELAND AVE,,2F   ,Chicago,Illinois
12914,SR23-00095370,01/19/23 08:39 AM,407 E 50TH PL<br>  ,Completed,No Entry,407 E 50TH PL,,   ,Chicago,Illinois
12915,SR23-00095522,01/19/23 08:54 AM,7712 S JEFFERY AVE<br>3<br>  ,Completed,Processed for Court,7712 S JEFFERY AVE,,3   ,Chicago,Illinois
12916,SR23-00095931,01/19/23 09:30 AM,5108 W NORTH AVE<br>  ,Completed,Processed for Court,5108 W NORTH AVE,,   ,Chicago,Illinois
12917,SR23-00095998,01/19/23 09:36 AM,4821 W BELLE PLAINE AVE<br>  ,Completed,Adequate Temperature,4821 W BELLE PLAINE AVE,,   ,Chicago,Illinois
12918,SR23-00096337,01/19/23 10:05 AM,12451 S PARNELL AVE<br>  ,Completed,No Cause - Phone Call,12451 S PARNELL AVE,,   ,Chicago,Illinois
12919,SR23-00096738,01/19/23 10:48 AM,3759 W 55TH ST<br>  ,Completed,NO SUCH ADDRESS,3759 W 55TH ST,,   ,Chicago,Illinois
12920,SR23-00096819,01/19/23 10:59 AM,8056 S CALUMET AVE<br>  ,Completed,,8056 S CALUMET AVE,,   ,Chicago,Illinois
12921,SR23-00096963,01/19/23 11:16 AM,745 N ST LOUIS AVE<br>  ,Completed,No Cause - Phone Call,745 N ST LOUIS AVE,,   ,Chicago,Illinois
12922,SR23-00097006,01/19/23 11:21 AM,6134 S COTTAGE GROVE AVE<br>  ,Completed,No Cause - Phone Call,6134 S COTTAGE GROVE AVE,,   ,Chicago,Illinois
12923,SR23-00099247,01/19/23 04:01 PM,7842 S BENNETT AVE<br>  ,Completed,No Entry,7842 S BENNETT AVE,,   ,Chicago,Illinois
12924,SR23-00100067,01/19/23 07:24 PM,5334 W HARRISON ST<br>2n<br>  ,Completed,No Entry,5334 W HARRISON ST,,2n   ,Chicago,Illinois
12925,SR23-00100947,01/20/23 07:20 AM,3615 W 79TH ST<br>1S<br>  ,Completed,No Entry,3615 W 79TH ST,,1S   ,Chicago,Illinois
12926,SR23-00101566,01/20/23 08:54 AM,10323 S AVENUE M <br>  ,Completed,No Entry,10323 S AVENUE M ,,   ,Chicago,Illinois
12927,SR23-00102400,01/20/23 10:25 AM,8149 S INGLESIDE AVE<br>  ,Completed,No Cause - Phone Call,8149 S INGLESIDE AVE,,   ,Chicago,Illinois
12928,SR23-00103047,01/20/23 11:37 AM,10537 S LAFAYETTE AVE<br>  ,Completed,No Entry,10537 S LAFAYETTE AVE,,   ,Chicago,Illinois
12929,SR23-00103971,01/20/23 01:26 PM,5030 N MARINE DR<br>  ,Completed,No Cause - Phone Call,5030 N MARINE DR,,   ,Chicago,Illinois
